id,name,x,y,z,spectral,size
0,Sol,0,0,0,G2,V
1,Proxima Centauri,0,0,-1,M5,V
2,Alp2Cen,0,0,-1,K1,V
3,Rigil Kentaurus,0,0,-1,G2,V
4,Lalande 21185,-1,0,1,M2,V
5,Sirius,0,2,0,A0,0
6,18Eps Eri,1,2,0,K2,V
7,Lacaille 9352,2,0,-1,M2,V
8,61Cyg,1,-1,2,K5,V
9,61Cyg,1,-1,2,K7,V
10,Kapteyn's Star,0,2,-2,M0,0
11,Procyon,-1,3,0,F5,I
12,Kruger 60,1,0,3,M2,V
13,Eps Ind,1,0,-3,K5,V
14,52Tau Cet,3,1,-1,G8,V
15,Lacaille 8760,2,-2,-2,M1,V
16,Altair,2,-4,0,A7,I
17,40Omi2Eri,2,4,0,K1,V
18,70Oph,0,-5,0,K0,0
19,61Sig Dra,0,-1,5,K0,0
20,82 G. Eri,2,3,-4,G8,V
21,36Oph,-1,-5,-2,K1,V
22,Del Pav,1,-2,-5,G5,I
23,36Oph,-1,-5,-2,K2,I
24,24Eta Cas,3,0,5,G0,0
25,37Xi  Boo,-4,-4,2,G8,V
26,268 G. Cet,5,4,0,K3,V
27,Vega,0,-5,4,A0,0
28,Fomalhaut,6,-1,-3,A3,V
29,107Psc,6,3,2,K1,V
30,Bet Hyi,1,0,-7,G2,I
31,96 G. Psc,7,1,0,K2,V
32,44Chi Dra,0,-2,7,F7,V
33,p Eridani,4,1,-6,K2,V
34,30Mu  Cas,4,1,6,G5,V
35,1Pi 3Ori,2,7,0,F6,V
36,61Vir,-7,-2,-2,G5,V
37,Zet Tuc,3,0,-7,F9,V
38,86Mu  Her,0,-7,3,G5,I
39,96Kap1Cet,5,6,0,G5,V
40,8Bet CVn,-6,0,5,G0,0
41,43Bet Com,-7,-2,4,G0,0
42,54Chi1Ori,0,8,3,G0,0
43,13Gam Lep,0,8,-3,F7,V
44,Groombridge 1830,-7,0,5,G8,V
45,61UMa,-7,0,5,G8,V
46,23Del Eri,5,7,-1,K0,0
47,Gam Pav,3,-2,-8,F6,V
48,Alp Men,0,2,-9,G5,V
49,12Oph,-3,-9,0,K2,V
50,53Xi  UMa,-8,1,5,G0,0
51,53Xi  UMa,-8,1,5,G0,0
52,Pollux,-4,8,4,K0,0
53,Arcturus,-8,-5,3,K2,I
54,40Zet Her,-3,-8,5,F9,I
55,5Bet Vir,-10,0,0,F8,V
56,Denebola,-10,0,2,A3,V
57,13The Per,5,4,8,F7,V
58,Iot Per,4,5,8,G0,0
59,11LMi,-7,5,6,G8,I
60,8Del Tri,7,5,6,G0,0
61,41Gam Ser,-5,-9,3,F6,V
62,Mufrid,-9,-5,3,G0,0
63,54Psc,10,1,4,K0,0
64,Zet Dor,1,6,-9,F7,V
65,55Rho1Cnc,-7,7,5,G8,V
66,85Peg,10,0,5,G3,V
67,Zet2Ret,3,4,-10,G1,V
68,Porrima,-11,-2,0,F0,0
69,Zet1Ret,3,4,-10,G2,V
70,29Gam Vir,-11,-2,0,F0,0
71,49Del Cap,9,-6,-3,A5,I
72,Zet TrA,-1,-3,-11,F9,V
73,24Iot Peg,9,-5,5,F5,V
74,27Lam Ser,-6,-10,1,G0,0
75,36UMa,-6,2,10,F8,V
76,Bet TrA,-2,-4,-11,F2,I
77,44Boo,-5,-6,9,G2,V
78,15Lam Aur,1,9,8,G0,0
79,Alshain,6,-11,1,G8,I
80,50Ups And,9,4,8,F8,V
81,25The UMa,-6,5,10,F6,I
82,58Eri,3,12,-3,G3,V
83,17Iot Psc,13,-1,1,F7,V
84,9Iot UMa,-6,6,10,A7,I
85,72Her,-2,-11,7,G0,0
86,35Gam Cep,3,0,13,K1,I
87,1Tau1Eri,10,8,-4,F5,V
88,26Dra,0,-6,12,G0,0
89,Alp For,8,9,-6,F8,V
90,16Psi Cap,8,-9,-6,F5,V
91,18Sco,-6,-12,-2,G1,V
92,10Tau,8,11,0,F9,V
93,3Eta Cep,4,-5,12,K0,0
94,47UMa,-10,2,9,G0,0
95,111Tau,2,13,4,F8,V
96,3Pi 1UMa,-3,4,13,G1,V
97,23The Boo,-7,-5,11,F7,V
98,42Alp Com,-13,-4,4,F5,V
99,31Aql,5,-13,3,G8,I
100,1Alp Crv,-13,0,-6,F0,0
101,16Eta Lep,0,14,-3,F1,V
102,Rasalhague,-1,-14,3,A5,I
103,20LMi,-11,6,7,G1,V
104,Nu 2Lup,-6,-7,-11,G2,V
105,19Dra,-1,-6,13,F6,V
106,23Psi Ser,-8,-12,0,G5,V
107,Nu  Phe,10,3,-10,F8,V
108,Alderamin,5,-4,13,A7,I
109,28Sig Boo,-10,-8,7,F3,V
110,1Chi Her,-6,-9,10,F9,V
111,99Her,0,-13,7,F7,V
112,4Tau Boo,-13,-6,4,F7,V
113,104Tau,3,14,4,G4,V
114,30Del Aql,5,-14,0,F0,0
115,Mu  Ara,0,-9,-12,G5,V
116,51Peg,14,-3,5,G5,V
117,Castor,-5,12,8,A2,V
118,19Phi2Cet,15,3,-2,F7,I
119,56Psi5Aur,-2,11,11,G0,0
120,39Tau,7,13,6,G5,V
121,9Pup,-7,14,-3,G2,V
122,46Xi  Peg,15,-5,3,F7,V
123,Caph,8,0,14,F2,I
124,40Xi  Oph,-2,-15,-6,F2,V
125,Alp Cir,-5,-4,-15,F1,V
